,CRDS Time,Averaged Extinction
0,2017-04-10 15:31:22,
1,2017-04-10 15:32:22,
2,2017-04-10 15:33:22,
3,2017-04-10 15:34:22,
4,2017-04-10 15:35:22,
5,2017-04-10 15:36:22,
6,2017-04-10 15:37:22,
7,2017-04-10 15:38:22,
8,2017-04-10 15:39:22,10.337379071281456
9,2017-04-10 15:40:22,11.653249559912348
10,2017-04-10 15:41:22,11.208415867573516
11,2017-04-10 15:42:22,11.575339116223104
12,2017-04-10 15:43:22,13.287377830335863
13,2017-04-10 15:44:22,16.73809089707519
14,2017-04-10 15:45:22,10.226379711914397
15,2017-04-10 15:46:22,9.771293831721643
16,2017-04-10 15:47:22,10.234248624299253
17,2017-04-10 15:48:22,11.451582429377602
18,2017-04-10 15:49:22,10.66640250514092
19,2017-04-10 15:50:22,11.297805976031102
20,2017-04-10 15:51:22,10.669598595245521
21,2017-04-10 15:52:22,11.271116485000688
22,2017-04-10 15:53:22,14.059348407773465
23,2017-04-10 15:54:22,11.40015106694226
24,2017-04-10 15:55:22,11.641966491495374
25,2017-04-10 15:56:22,10.476878456714877
26,2017-04-10 15:57:22,10.896497461252842
27,2017-04-10 15:58:22,10.670893358268907
28,2017-04-10 15:59:22,13.830132229117272
29,2017-04-10 16:00:22,
30,2017-04-10 16:01:22,
31,2017-04-10 16:02:22,
32,2017-04-10 16:03:22,
33,2017-04-10 16:04:22,
34,2017-04-10 16:05:22,
35,2017-04-10 16:06:22,
36,2017-04-10 16:07:22,
37,2017-04-10 16:08:22,
38,2017-04-10 16:09:22,
39,2017-04-10 16:10:22,11.544321171001238
40,2017-04-10 16:11:22,11.311956454192519
41,2017-04-10 16:12:22,11.074683720087876
42,2017-04-10 16:13:22,12.12752886782125
43,2017-04-10 16:14:22,13.047464117463702
44,2017-04-10 16:15:22,11.104715132400262
45,2017-04-10 16:16:22,10.96546012070812
46,2017-04-10 16:17:22,11.120953258227546
47,2017-04-10 16:18:22,11.162454824176159
48,2017-04-10 16:19:22,12.298883910160985
49,2017-04-10 16:20:22,10.239072188964323
50,2017-04-10 16:21:22,10.287972698337475
51,2017-04-10 16:22:22,11.528434289932383
52,2017-04-10 16:23:22,10.460252253109717
53,2017-04-10 16:24:22,10.63464009427977
54,2017-04-10 16:25:22,11.017753596212172
55,2017-04-10 16:26:22,12.715652743517326
56,2017-04-10 16:27:22,11.357377317431995
57,2017-04-10 16:28:22,10.481061971217798
58,2017-04-10 16:29:22,11.830968504675246
59,2017-04-10 16:30:22,
60,2017-04-10 16:31:22,
61,2017-04-10 16:32:22,
62,2017-04-10 16:33:22,
63,2017-04-10 16:34:22,
64,2017-04-10 16:35:22,
65,2017-04-10 16:36:22,
66,2017-04-10 16:37:22,
67,2017-04-10 16:38:22,
68,2017-04-10 16:39:22,
69,2017-04-10 16:40:22,10.24657695869083
70,2017-04-10 16:41:22,9.691460727383202
71,2017-04-10 16:42:22,10.341051903749676
72,2017-04-10 16:43:22,10.26910815093382
73,2017-04-10 16:44:22,9.917346855823412
74,2017-04-10 16:45:22,9.23159306850543
75,2017-04-10 16:46:22,9.597886155896358
76,2017-04-10 16:47:22,10.096497436334023
77,2017-04-10 16:48:22,8.665712445044772
78,2017-04-10 16:49:22,9.67495326371704
79,2017-04-10 16:50:22,9.72328561424658
80,2017-04-10 16:51:22,9.815046281264475
81,2017-04-10 16:52:22,10.16871849769726
82,2017-04-10 16:53:22,9.550889543013277
83,2017-04-10 16:54:22,10.146724555072138
84,2017-04-10 16:55:22,9.924844184824822
85,2017-04-10 16:56:22,9.78031218964735
86,2017-04-10 16:57:22,9.454180193898868
87,2017-04-10 16:58:22,8.592575850779642
88,2017-04-10 16:59:22,9.765108725883746
89,2017-04-10 17:00:22,
90,2017-04-10 17:01:22,
91,2017-04-10 17:02:23,
92,2017-04-10 17:03:23,
93,2017-04-10 17:04:23,
94,2017-04-10 17:05:23,
95,2017-04-10 17:06:23,
96,2017-04-10 17:07:23,
97,2017-04-10 17:08:23,
98,2017-04-10 17:09:23,9.008525166725557
99,2017-04-10 17:10:23,9.580320093305495
100,2017-04-10 17:11:23,11.06772271626685
101,2017-04-10 17:12:23,11.835440432934142
102,2017-04-10 17:13:23,9.273514393228087
103,2017-04-10 17:14:23,10.122309235063556
104,2017-04-10 17:15:23,9.849490680322337
105,2017-04-10 17:16:23,9.400473088494216
106,2017-04-10 17:17:23,9.470535537268852
107,2017-04-10 17:18:23,9.169585813080722
108,2017-04-10 17:19:23,9.05816252625323
109,2017-04-10 17:20:23,9.268034108925775
110,2017-04-10 17:21:23,9.873628821918153
111,2017-04-10 17:22:23,9.367762898954464
112,2017-04-10 17:23:23,9.28148605395245
113,2017-04-10 17:24:23,9.7515110798685
114,2017-04-10 17:25:23,10.0930778425021
115,2017-04-10 17:26:23,8.722482832169009
116,2017-04-10 17:27:23,10.600075090026476
117,2017-04-10 17:28:23,9.432610274563855
118,2017-04-10 17:29:23,9.655065723911743
119,2017-04-10 17:30:23,
120,2017-04-10 17:31:23,
121,2017-04-10 17:32:23,
122,2017-04-10 17:33:23,
123,2017-04-10 17:34:23,
124,2017-04-10 17:35:23,
125,2017-04-10 17:36:23,
126,2017-04-10 17:37:23,
127,2017-04-10 17:38:23,
128,2017-04-10 17:39:23,9.547944136475028
129,2017-04-10 17:40:23,8.981547184981514
130,2017-04-10 17:41:23,9.627560123621395
131,2017-04-10 17:42:23,8.147813235300982
132,2017-04-10 17:43:23,7.940353978131911
133,2017-04-10 17:44:23,8.971655868147733
134,2017-04-10 17:45:23,18.896915044602455
135,2017-04-10 17:46:23,8.955456825324909
136,2017-04-10 17:47:23,8.82506693166497
137,2017-04-10 17:48:23,9.757411832799477
138,2017-04-10 17:49:23,9.632365073470709
139,2017-04-10 17:50:23,8.771226300924123
140,2017-04-10 17:51:23,9.25411254699798
141,2017-04-10 17:52:23,10.00910453997666
142,2017-04-10 17:53:23,9.923123742596099
143,2017-04-10 17:54:23,9.228311220619684
144,2017-04-10 17:55:23,10.768223864703296
145,2017-04-10 17:56:23,10.557512063804683
146,2017-04-10 17:57:23,11.33068646441814
147,2017-04-10 17:58:23,11.616553353394218
148,2017-04-10 17:59:24,10.689736877362352
149,2017-04-10 18:00:24,
150,2017-04-10 18:01:24,
151,2017-04-10 18:02:24,
152,2017-04-10 18:03:24,
153,2017-04-10 18:04:24,
154,2017-04-10 18:05:24,
155,2017-04-10 18:06:24,
156,2017-04-10 18:07:24,
157,2017-04-10 18:08:24,
158,2017-04-10 18:09:24,
159,2017-04-10 18:10:24,11.238465429026183
160,2017-04-10 18:11:24,10.361488310322635
161,2017-04-10 18:12:24,11.38075722709262
162,2017-04-10 18:13:24,12.007159361161927
163,2017-04-10 18:14:24,11.579162384560163
164,2017-04-10 18:15:24,10.78728124996881
165,2017-04-10 18:16:24,10.660460151735998
166,2017-04-10 18:17:24,11.216264026848968
167,2017-04-10 18:18:24,11.359707893597749
168,2017-04-10 18:19:24,10.470325914825914
169,2017-04-10 18:20:24,10.468193957300002
170,2017-04-10 18:21:24,10.679833029418804
171,2017-04-10 18:22:24,13.051685780017122
172,2017-04-10 18:23:24,12.160294539886932
173,2017-04-10 18:24:24,11.3304948467715
174,2017-04-10 18:25:24,12.040314955428153
175,2017-04-10 18:26:24,10.832037539327633
176,2017-04-10 18:27:24,11.407648171321256
177,2017-04-10 18:28:24,11.001431760787897
178,2017-04-10 18:29:24,10.655740374505587
179,2017-04-10 18:30:24,
180,2017-04-10 18:31:24,
181,2017-04-10 18:32:24,
182,2017-04-10 18:33:24,
183,2017-04-10 18:34:24,
184,2017-04-10 18:35:24,
185,2017-04-10 18:36:24,
186,2017-04-10 18:37:24,
187,2017-04-10 18:38:24,
188,2017-04-10 18:39:24,
189,2017-04-10 18:40:24,9.400252122972908
190,2017-04-10 18:41:24,10.310557061469702
191,2017-04-10 18:42:24,9.004604153435368
192,2017-04-10 18:43:24,10.98350000724988
