"Blue","Green","Red","Date","Hour","Min","Date_Hr"
6.549e-05,4.3e-05,2.567e-05,2017-04-12,0,0,2017-04-12 00:00:00
6.576e-05,4.332e-05,2.512e-05,2017-04-12,0,1,2017-04-12 00:01:00
6.708e-05,4.29e-05,2.514e-05,2017-04-12,0,2,2017-04-12 00:02:00
6.466e-05,4.261e-05,2.529e-05,2017-04-12,0,3,2017-04-12 00:03:00
6.629e-05,4.293e-05,2.565e-05,2017-04-12,0,4,2017-04-12 00:04:00
6.684e-05,4.427e-05,2.549e-05,2017-04-12,0,5,2017-04-12 00:05:00
6.65e-05,4.369e-05,2.574e-05,2017-04-12,0,6,2017-04-12 00:06:00
6.724e-05,4.413e-05,2.708e-05,2017-04-12,0,7,2017-04-12 00:07:00
6.734e-05,4.427e-05,2.638e-05,2017-04-12,0,8,2017-04-12 00:08:00
6.657e-05,4.433e-05,2.617e-05,2017-04-12,0,9,2017-04-12 00:09:00
6.682e-05,4.355e-05,2.53e-05,2017-04-12,0,10,2017-04-12 00:10:00
6.727e-05,4.408e-05,2.551e-05,2017-04-12,0,11,2017-04-12 00:11:00
6.562e-05,4.236e-05,2.485e-05,2017-04-12,0,12,2017-04-12 00:12:00
6.805e-05,4.382e-05,2.609e-05,2017-04-12,0,13,2017-04-12 00:13:00
6.825e-05,4.473e-05,2.616e-05,2017-04-12,0,14,2017-04-12 00:14:00
6.664e-05,4.306e-05,2.603e-05,2017-04-12,0,15,2017-04-12 00:15:00
2.89e-05,1.63e-05,1.597e-05,2017-04-12,0,21,2017-04-12 00:21:00
6.288e-05,4.186e-05,2.46e-05,2017-04-12,0,22,2017-04-12 00:22:00
6.449e-05,4.167e-05,2.497e-05,2017-04-12,0,23,2017-04-12 00:23:00
6.469e-05,4.142e-05,2.512e-05,2017-04-12,0,24,2017-04-12 00:24:00
6.401e-05,4.134e-05,2.495e-05,2017-04-12,0,25,2017-04-12 00:25:00
6.382e-05,4.185e-05,2.438e-05,2017-04-12,0,26,2017-04-12 00:26:00
6.277e-05,4.078e-05,2.5e-05,2017-04-12,0,27,2017-04-12 00:27:00
6.286e-05,4.058e-05,2.504e-05,2017-04-12,0,28,2017-04-12 00:28:00
