Time	micCh1_mV	micCh2_mV	micCh3_mV	micCh4_mV	pdCh1_mV	pdCh2_mV	pdCh3_mV	pdCh4_mV	tau_sec	babsCh1_Mm	babsCh2_Mm	babsCh3_Mm	babsCh4_Mm	bext_Mm	fres_Hz	filter_state	elapsedTime_min
2017-04-27 16:27:27	1.7050E+0	2.1668E+0	2.1071E+0	1.9345E+0	2.4978E-2	3.5192E-2	3.4706E-2	3.1622E-2	2.9023E-5	6.9754E+4	5.9702E+4	6.0219E+4	5.9416E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:27:28	1.6827E+0	2.1592E+0	2.1968E+0	1.9536E+0	2.5060E-2	3.5367E-2	3.4558E-2	3.1688E-2	2.5611E-5	6.8261E+4	6.1571E+4	6.0712E+4	6.1175E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:27:29	1.6705E+0	2.1218E+0	2.1440E+0	1.9328E+0	2.5507E-2	3.5036E-2	3.4703E-2	3.1234E-2	2.8018E-5	6.7146E+4	6.1053E+4	6.3568E+4	6.1649E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:27:30	1.7368E+0	2.0770E+0	2.0961E+0	1.9279E+0	2.5315E-2	3.5398E-2	3.5048E-2	3.1313E-2	2.5949E-5	6.5490E+4	6.0561E+4	6.1782E+4	6.1881E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:27:31	1.7098E+0	2.0242E+0	2.1022E+0	1.9176E+0	2.5424E-2	3.5648E-2	3.5246E-2	3.1741E-2	9.6468E-5	6.8607E+4	5.8676E+4	5.9806E+4	6.1570E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:27:32	1.6382E+0	2.0730E+0	2.1135E+0	1.9246E+0	2.5494E-2	3.5654E-2	3.5262E-2	3.1595E-2	-6.5395E-5	6.7253E+4	5.6783E+4	5.9645E+4	6.0415E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:27:33	1.6435E+0	2.1997E+0	2.0632E+0	1.8913E+0	2.5660E-2	3.5504E-2	3.5422E-2	3.1454E-2	1.1392E-5	6.4259E+4	5.8141E+4	5.9937E+4	6.0915E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:27:34	1.6717E+0	2.2219E+0	2.0386E+0	1.9149E+0	2.5206E-2	3.5886E-2	3.5646E-2	3.1556E-2	5.9924E-5	6.4050E+4	6.1957E+4	5.8247E+4	6.0130E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:27:35	1.6402E+0	2.1028E+0	1.9507E+0	1.8003E+0	2.5078E-2	3.6360E-2	3.5363E-2	3.1614E-2	-3.5616E-3	6.6319E+4	6.1917E+4	5.7190E+4	6.0682E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:27:36	1.6271E+0	2.2371E+0	1.9182E+0	1.8184E+0	2.5232E-2	3.6746E-2	3.5658E-2	3.1674E-2	2.6569E-5	6.5405E+4	5.7834E+4	5.5163E+4	5.6947E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:27:37	1.6777E+0	2.2076E+0	1.9520E+0	1.7518E+0	2.5133E-2	3.6929E-2	3.5388E-2	3.1306E-2	-9.4544E-5	6.4483E+4	6.0880E+4	5.3795E+4	5.7410E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:27:38	1.6943E+0	2.1010E+0	1.9518E+0	1.7143E+0	2.5088E-2	3.7149E-2	3.5400E-2	3.1311E-2	-9.4544E-5	6.6753E+4	5.9778E+4	5.5159E+4	5.5957E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:27:39	1.8272E+0	2.0890E+0	1.9240E+0	1.6729E+0	2.5134E-2	3.7123E-2	3.4947E-2	3.1158E-2	4.6960E-5	6.7535E+4	5.6556E+4	5.5136E+4	5.4751E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:27:40	1.8539E+0	1.9807E+0	1.8838E+0	1.6655E+0	2.5409E-2	3.7147E-2	3.4914E-2	3.1048E-2	3.4015E-4	7.2699E+4	5.6272E+4	5.5055E+4	5.3692E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:27:41	1.9154E+0	1.9014E+0	1.8070E+0	1.6623E+0	2.5303E-2	3.6987E-2	3.5282E-2	3.0874E-2	1.6372E-5	7.2961E+4	5.3320E+4	5.3957E+4	5.3642E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:27:42	1.8855E+0	1.9424E+0	1.8479E+0	1.6985E+0	2.5404E-2	3.7405E-2	3.5322E-2	3.0485E-2	1.1402E-4	7.5698E+4	5.1406E+4	5.1214E+4	5.3842E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:27:43	1.8707E+0	1.9171E+0	1.7881E+0	1.6969E+0	2.5379E-2	3.7747E-2	3.5600E-2	3.0304E-2	-7.6682E-6	7.4220E+4	5.1928E+4	5.2314E+4	5.5716E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:27:44	1.7806E+0	1.8663E+0	1.7695E+0	1.7558E+0	2.5044E-2	3.7852E-2	3.5402E-2	2.9985E-2	2.2295E-5	7.3709E+4	5.0789E+4	5.0227E+4	5.5995E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:27:45	1.7341E+0	1.8424E+0	1.9146E+0	1.8437E+0	2.5408E-2	3.7788E-2	3.5499E-2	2.9734E-2	3.9740E-5	7.1097E+4	4.9304E+4	4.9983E+4	5.8557E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:27:46	1.6545E+0	1.8431E+0	1.9194E+0	1.7824E+0	2.5403E-2	3.7634E-2	3.5399E-2	2.9830E-2	4.2478E-5	6.8252E+4	4.8758E+4	5.3935E+4	6.2004E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:27:47	1.6587E+0	1.7602E+0	2.0888E+0	1.7999E+0	2.5290E-2	3.7780E-2	3.5041E-2	2.9616E-2	9.5837E-5	6.5128E+4	4.8974E+4	5.4221E+4	5.9752E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:27:48	1.6816E+0	1.7986E+0	2.0033E+0	1.7805E+0	2.5175E-2	3.7738E-2	3.4906E-2	2.9036E-2	1.3289E-4	6.5588E+4	4.6592E+4	5.9610E+4	6.0773E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:27:49	1.6687E+0	1.8010E+0	1.9608E+0	1.7963E+0	2.5312E-2	3.7271E-2	3.5179E-2	2.8760E-2	2.9064E-4	6.6796E+4	4.7661E+4	5.7390E+4	6.1320E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:27:50	1.6881E+0	1.7799E+0	2.0524E+0	1.8183E+0	2.5482E-2	3.7276E-2	3.5234E-2	2.8797E-2	2.6432E-5	6.5926E+4	4.8322E+4	5.5739E+4	6.2458E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:27:51	1.6778E+0	1.7344E+0	1.9399E+0	1.7852E+0	2.5156E-2	3.7364E-2	3.5334E-2	2.8911E-2	-3.4934E-5	6.6245E+4	4.7750E+4	5.8250E+4	6.3141E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:27:52	1.7024E+0	1.7840E+0	1.8794E+0	1.7416E+0	2.5112E-2	3.7732E-2	3.5459E-2	2.8882E-2	-1.4765E-6	6.6694E+4	4.6420E+4	5.4901E+4	6.1748E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:27:53	1.6120E+0	1.7045E+0	1.7751E+0	1.6681E+0	2.5295E-2	3.8143E-2	3.5243E-2	2.9012E-2	-8.6797E-5	6.7793E+4	4.7280E+4	5.3002E+4	6.0299E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:27:54	1.6318E+0	1.6194E+0	1.6705E+0	1.6817E+0	2.4577E-2	3.7818E-2	3.5435E-2	2.8944E-2	-2.5970E-4	6.3728E+4	4.4688E+4	5.0366E+4	5.7497E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:27:55	1.7263E+0	1.5860E+0	1.7142E+0	1.8107E+0	2.4944E-2	3.7924E-2	3.5094E-2	2.8546E-2	1.4622E-5	6.6396E+4	4.2821E+4	4.7142E+4	5.8102E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:27:56	1.7706E+0	1.5260E+0	1.7397E+0	1.6913E+0	2.5280E-2	3.7974E-2	3.4709E-2	2.8407E-2	1.4622E-5	6.9207E+4	4.1820E+4	4.8846E+4	6.3430E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:27:57	1.7472E+0	1.5546E+0	1.7677E+0	1.8110E+0	2.5219E-2	3.8194E-2	3.4851E-2	2.8221E-2	3.1565E-5	7.0040E+4	4.0186E+4	5.0121E+4	5.9538E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:27:58	1.7988E+0	1.4404E+0	1.7376E+0	1.7610E+0	2.4995E-2	3.7829E-2	3.4725E-2	2.8507E-2	2.2843E-4	6.9284E+4	4.0702E+4	5.0721E+4	6.4173E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:27:59	1.7346E+0	1.4801E+0	1.7085E+0	1.6644E+0	2.4854E-2	3.7382E-2	3.5000E-2	2.8194E-2	1.5528E-4	7.1966E+4	3.8076E+4	5.0041E+4	6.1776E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:28:00	1.7511E+0	1.4747E+0	1.7322E+0	1.6673E+0	2.4502E-2	3.7562E-2	3.5280E-2	2.7785E-2	1.1475E-4	6.9793E+4	3.9595E+4	4.8815E+4	5.9035E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:28:01	1.7317E+0	1.4656E+0	1.7549E+0	1.6354E+0	2.4166E-2	3.7108E-2	3.5184E-2	2.7910E-2	2.1927E-5	7.1466E+4	3.9261E+4	4.9100E+4	6.0007E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:28:02	1.7601E+0	1.4811E+0	1.7256E+0	1.6269E+0	2.3748E-2	3.7533E-2	3.5443E-2	2.7881E-2	2.6744E-4	7.1657E+4	3.9495E+4	4.9878E+4	5.8596E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:28:03	1.6867E+0	1.4471E+0	1.7202E+0	1.6628E+0	2.3871E-2	3.7058E-2	3.5287E-2	2.7805E-2	7.3638E-5	7.4116E+4	3.9461E+4	4.8688E+4	5.8352E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:28:04	1.6843E+0	1.2702E+0	1.7477E+0	1.6808E+0	2.3977E-2	3.6779E-2	3.5410E-2	2.7359E-2	-1.0792E-4	7.0659E+4	3.9049E+4	4.8749E+4	5.9800E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:28:05	1.8057E+0	1.3120E+0	1.7315E+0	1.8264E+0	2.4323E-2	3.6651E-2	3.5212E-2	2.7687E-2	-2.4020E-3	7.0246E+4	3.4535E+4	4.9356E+4	6.1435E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:28:06	1.8481E+0	1.3784E+0	1.8048E+0	1.9427E+0	2.4154E-2	3.6748E-2	3.5084E-2	2.7399E-2	-2.6185E-5	7.4238E+4	3.5797E+4	4.9174E+4	6.5965E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:28:07	1.8125E+0	1.4231E+0	1.7671E+0	1.8374E+0	2.4092E-2	3.6640E-2	3.4644E-2	2.7194E-2	-3.0394E-5	7.6514E+4	3.7509E+4	5.1443E+4	7.0903E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:28:08	1.7709E+0	1.4004E+0	1.7210E+0	1.9096E+0	2.4186E-2	3.6479E-2	3.4720E-2	2.7370E-2	1.8147E-5	7.5233E+4	3.8840E+4	5.1008E+4	6.7565E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:28:09	1.7836E+0	1.3789E+0	1.6984E+0	1.8786E+0	2.4319E-2	3.6532E-2	3.4670E-2	2.7649E-2	1.8235E-4	7.3220E+4	3.8388E+4	4.9569E+4	6.9771E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:28:10	1.6478E+0	1.3435E+0	1.7111E+0	1.9337E+0	2.4191E-2	3.6394E-2	3.4605E-2	2.7186E-2	9.7898E-5	7.3341E+4	3.7744E+4	4.8987E+4	6.7944E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:28:11	1.6452E+0	1.3869E+0	1.6186E+0	1.9299E+0	2.4153E-2	3.6332E-2	3.4198E-2	2.7186E-2	-2.7582E-5	6.8117E+4	3.6916E+4	4.9447E+4	7.1128E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:28:12	1.5656E+0	1.4319E+0	1.6829E+0	1.9510E+0	2.4361E-2	3.6399E-2	3.3856E-2	2.7258E-2	-1.5731E-4	6.8113E+4	3.8172E+4	4.7330E+4	7.0989E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:28:13	1.5060E+0	1.4221E+0	1.7334E+0	2.0369E+0	2.4604E-2	3.6513E-2	3.3521E-2	2.7439E-2	6.5767E-5	6.4268E+4	3.9338E+4	4.9706E+4	7.1573E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:28:14	1.4965E+0	1.4144E+0	1.7895E+0	2.0612E+0	2.4827E-2	3.6536E-2	3.3147E-2	2.7739E-2	1.5549E-4	6.1210E+4	3.8949E+4	5.1711E+4	7.4233E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:28:15	1.6084E+0	1.3749E+0	1.7170E+0	2.0383E+0	2.5037E-2	3.6911E-2	3.3135E-2	2.7909E-2	-2.5033E-5	6.0280E+4	3.8711E+4	5.3988E+4	7.4305E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:28:16	1.6464E+0	1.3676E+0	1.5586E+0	1.9634E+0	2.5123E-2	3.7036E-2	3.2980E-2	2.7889E-2	-3.6315E-5	6.4240E+4	3.7250E+4	5.1817E+4	7.3032E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:28:17	1.5824E+0	1.2881E+0	1.4722E+0	1.9791E+0	2.4969E-2	3.6770E-2	3.3412E-2	2.7981E-2	-3.6482E-5	6.5534E+4	3.6926E+4	4.7260E+4	7.0403E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:28:18	1.5730E+0	1.3394E+0	1.2616E+0	1.9735E+0	2.5165E-2	3.6300E-2	3.3430E-2	2.7931E-2	-3.9677E-5	6.3373E+4	3.5031E+4	4.4061E+4	7.0729E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:28:19	1.7179E+0	1.6052E+0	1.3253E+0	2.1138E+0	2.4907E-2	3.6115E-2	3.3691E-2	2.7917E-2	-3.9677E-5	6.2508E+4	3.6899E+4	3.7739E+4	7.0658E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:28:20	1.7341E+0	1.5898E+0	1.3253E+0	2.1191E+0	2.4722E-2	3.5956E-2	3.4060E-2	2.7969E-2	1.5140E-4	6.8972E+4	4.4447E+4	3.9336E+4	7.5717E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:28:21	1.9672E+0	1.7237E+0	1.3639E+0	2.0146E+0	2.4638E-2	3.6025E-2	3.4382E-2	2.7900E-2	1.3361E-4	7.0142E+4	4.4214E+4	3.8912E+4	7.5767E+4	-Inf	1370.000000	0.000000	0.0
2017-04-27 16:28:22	1.9968E+0	1.7685E+0	1.4380E+0	2.0629E+0	2.4617E-2	3.5582E-2	3.4496E-2	2.7826E-2	4.7438E-5	7.9844E+4	4.7848E+4	3.9669E+4	7.2208E+4	-Inf	1370.000000	0.000000	0.0
