serial_time	550_nm	680_nm	 
736865.949849536990	NaN	NaN	
736865.949861111120	NaN	NaN	
736865.949872685130	NaN	NaN	
736865.949884259260	NaN	NaN	
736865.949895833390	NaN	NaN	
736865.949907407400	NaN	NaN	
736865.949918981530	NaN	NaN	
736865.949930555540	NaN	NaN	
736865.949942129660	NaN	NaN	
736865.949953703680	NaN	NaN	
736865.949965277800	NaN	NaN	
736865.949976851810	NaN	NaN	
736865.949988425940	NaN	NaN	
736865.949999999950	NaN	NaN	
736865.950011574080	NaN	NaN	
736865.950023148090	NaN	NaN	
736865.950034722220	NaN	NaN	
736865.950046296350	NaN	NaN	
736865.950057870360	NaN	NaN	
736865.950069444490	NaN	NaN	
736865.950081018500	NaN	NaN	
736865.950092592630	NaN	NaN	
736865.950104166640	NaN	NaN	
736865.950115740760	NaN	NaN	
736865.950127314780	NaN	NaN	
736865.950138888900	NaN	NaN	
736865.950150462920	NaN	NaN	
736865.950162037040	NaN	NaN	
736865.950173611050	NaN	NaN	
736865.950185185180	NaN	NaN	
736865.950196759310	NaN	NaN	
736865.950208333320	NaN	NaN	
736865.950219907450	NaN	NaN	
736865.950231481460	NaN	NaN	
736865.950243055590	NaN	NaN	
736865.950254629600	NaN	NaN	
736865.950266203730	NaN	NaN	
736865.950277777740	NaN	NaN	
736865.950289351870	NaN	NaN	
736865.950300925880	NaN	NaN	
736865.950312500000	NaN	NaN	
736865.950324074130	NaN	NaN	
736865.950335648140	NaN	NaN	
736865.950347222270	NaN	NaN	
736865.950358796280	NaN	NaN	
736865.950370370410	NaN	NaN	
736865.950381944420	NaN	NaN	
736865.950393518550	NaN	NaN	
736865.950405092560	NaN	NaN	
736865.950416666690	NaN	NaN	
736865.950428240700	NaN	NaN	
736865.950439814830	NaN	NaN	
736865.950451388840	NaN	NaN	
736865.950462962970	NaN	NaN	
736865.950474536980	NaN	NaN	
736865.950486111110	NaN	NaN	
736865.950497685230	NaN	NaN	
736865.950509259240	NaN	NaN	
736865.950520833370	NaN	NaN	
736865.950532407380	NaN	NaN	
736865.950543981510	NaN	NaN	
736865.950555555520	NaN	NaN	
736865.950567129650	NaN	NaN	
736865.950578703660	NaN	NaN	
736865.950590277790	NaN	NaN	
736865.950601851800	NaN	NaN	
736865.950613425930	NaN	NaN	
736865.950625000060	NaN	NaN	
736865.950636574070	NaN	NaN	
736865.950648148190	NaN	NaN	
736865.950659722210	NaN	NaN	
736865.950671296330	NaN	NaN	
736865.950682870350	NaN	NaN	
736865.950694444470	NaN	NaN	
736865.950706018480	NaN	NaN	
736865.950717592610	NaN	NaN	
736865.950729166620	NaN	NaN	
736865.950740740750	NaN	NaN	
736865.950752314760	NaN	NaN	
736865.950763888890	NaN	NaN	
736865.950775463020	NaN	NaN	
736865.950787037030	NaN	NaN	
736865.950798611160	NaN	NaN	
736865.950810185170	NaN	NaN	
736865.950821759300	NaN	NaN	
736865.950821759300	NaN	NaN	
736865.950844907430	NaN	NaN	
736865.950856481450	NaN	NaN	
736865.950868055570	NaN	NaN	
736865.950879629580	NaN	NaN	
736865.950891203710	NaN	NaN	
736865.950902777720	NaN	NaN	
736865.950902777720	NaN	NaN	
736865.950914351850	NaN	NaN	
736865.950937499990	NaN	NaN	
736865.950937499990	NaN	NaN	
736865.950960648130	NaN	NaN	
736865.950972222260	NaN	NaN	
736865.950983796270	NaN	NaN	
736865.950995370400	NaN	NaN	
736865.950995370400	NaN	NaN	
736865.951006944410	NaN	NaN	
736865.951018518540	NaN	NaN	
736865.951030092550	NaN	NaN	
736865.951041666670	NaN	NaN	
736865.951053240690	NaN	NaN	
736865.951076388940	NaN	NaN	
736865.951087962950	NaN	NaN	
736865.951087962950	NaN	NaN	
736865.951099537080	NaN	NaN	
736865.951111111090	NaN	NaN	
736865.951122685220	NaN	NaN	
736865.951134259230	NaN	NaN	
736865.951157407370	NaN	NaN	
736865.951157407370	NaN	NaN	
736865.951168981500	NaN	NaN	
736865.951180555510	NaN	NaN	
736865.951203703650	NaN	NaN	
736865.951203703650	NaN	NaN	
736865.951226851900	NaN	NaN	
736865.951226851900	NaN	NaN	
736865.951238425910	NaN	NaN	
736865.951250000040	NaN	NaN	
736865.951273148180	NaN	NaN	
736865.951273148180	NaN	NaN	
736865.951284722190	NaN	NaN	
736865.951296296320	NaN	NaN	
736865.951307870330	NaN	NaN	
736865.951319444460	NaN	NaN	
736865.951331018470	NaN	NaN	
736865.951342592600	NaN	NaN	
736865.951354166730	NaN	NaN	
736865.951365740740	NaN	NaN	
736865.951377314860	NaN	NaN	
736865.951388888880	NaN	NaN	
736865.951400463000	NaN	NaN	
736865.951412037010	NaN	NaN	
736865.951423611140	NaN	NaN	
736865.951435185150	NaN	NaN	
736865.951446759280	NaN	NaN	
736865.951458333290	NaN	NaN	
736865.951469907420	NaN	NaN	
736865.951481481430	NaN	NaN	
736865.951493055560	NaN	NaN	
736865.951504629570	NaN	NaN	
736865.951516203700	NaN	NaN	
736865.951527777830	NaN	NaN	
736865.951539351840	NaN	NaN	
736865.951550925970	NaN	NaN	
736865.951562499980	NaN	NaN	
736865.951574074100	NaN	NaN	
736865.951585648120	NaN	NaN	
736865.951597222240	NaN	NaN	
736865.951608796250	NaN	NaN	
